GEO_ID,NAME,Total_Women_15to50,Margin_of_Error
06001,"Alameda County, California",427733,617
06003,"Alpine County, California",174,46
06005,"Amador County, California",5754,141
06007,"Butte County, California",52862,265
06009,"Calaveras County, California",7655,164
06011,"Colusa County, California",4664,107
06013,"Contra Costa County, California",269717,583
06015,"Del Norte County, California",5185,211
06017,"El Dorado County, California",37492,255
06019,"Fresno County, California",239042,443
06021,"Glenn County, California",6132,91
06023,"Humboldt County, California",32311,226
06025,"Imperial County, California",40738,264
06027,"Inyo County, California",3318,105
06029,"Kern County, California",209010,486
06031,"Kings County, California",32966,200
06033,"Lake County, California",12243,198
06035,"Lassen County, California",4154,161
06037,"Los Angeles County, California",2577554,1269
06039,"Madera County, California",38733,362
06041,"Marin County, California",51327,328
06043,"Mariposa County, California",2948,118
06045,"Mendocino County, California",17655,217
06047,"Merced County, California",66106,321
06049,"Modoc County, California",1473,130
06051,"Mono County, California",3276,229
06053,"Monterey County, California",100576,333
06055,"Napa County, California",31293,207
06057,"Nevada County, California",17483,220
06059,"Orange County, California",777250,1075
06061,"Placer County, California",84310,392
06063,"Plumas County, California",3118,109
06065,"Riverside County, California",580306,853
06067,"Sacramento County, California",375388,561
06069,"San Benito County, California",14475,165
06071,"San Bernardino County, California",536529,703
06073,"San Diego County, California",815716,1092
06075,"San Francisco County, California",236518,474
06077,"San Joaquin County, California",178373,490
06079,"San Luis Obispo County, California",62311,294
06081,"San Mateo County, California",182548,448
06083,"Santa Barbara County, California",109180,367
06085,"Santa Clara County, California",474154,640
06087,"Santa Cruz County, California",67553,326
06089,"Shasta County, California",37300,246
06091,"Sierra County, California",436,44
06093,"Siskiyou County, California",7673,89
06095,"Solano County, California",101768,332
06097,"Sonoma County, California",110553,470
06099,"Stanislaus County, California",130452,403
06101,"Sutter County, California",21942,129
06103,"Tehama County, California",13180,203
06105,"Trinity County, California",2138,138
06107,"Tulare County, California",111085,323
06109,"Tuolumne County, California",9287,181
06111,"Ventura County, California",198490,472
06113,"Yolo County, California",61729,243
06115,"Yuba County, California",17812,183
0400000US06,California,9621148,3640
